Feature,Precision,Recall
eight,0.4666666667,0.0013130745
eight / CD,0.4666666667,0.0013130745
either,0.568627451,0.0054398799
either / CC,0.5,0.0035640593
either / DT,0.75,0.0011254924
either / RB,0.8,0.0007503283
el,0.4117647059,0.0013130745
el / NNP,0.4117647059,0.0013130745
elaborate,0.7,0.0013130745
elaborate / JJ,0.6666666667,0.0011254924
elegant,0.1538461538,0.0003751641
elegant / JJ,0.1538461538,0.0003751641
elegantly,0.4285714286,0.0005627462
elegantly / RB,0.4285714286,0.0005627462
element,0.4,0.0007503283
element / NN,0.4,0.0007503283
elements,0.5277777778,0.0035640593
elements / NNS,0.5277777778,0.0035640593
elizabeth,0.7142857143,0.0009379103
elizabeth / NNP,0.7142857143,0.0009379103
elling,0.125,0.0001875821
eloquent,0.1428571429,0.0001875821
eloquent / JJ,0.1428571429,0.0001875821
else,0.7142857143,0.0075032827
else / RB,0.7142857143,0.0075032827
elsewhere,0.8,0.0007503283
elsewhere / RB,0.8,0.0007503283
elusive,0.3333333333,0.0003751641
elusive / JJ,0.3333333333,0.0003751641
em,0.4,0.0007503283
em / NNP,0.375,0.0005627462
embarrassment,0.8333333333,0.0018758207
embarrassment / NN,0.8333333333,0.0018758207
embrace,0,0
embraces,0.1666666667,0.0001875821
embraces / VBZ,0.1666666667,0.0001875821
emerge,0.2222222222,0.0003751641
emerge / VB,0.2,0.0001875821
emerges,0.375,0.0011254924
emerges / VBZ,0.375,0.0011254924
emerging,0.2,0.0001875821
emerging / VBG,0.2,0.0001875821
emotion,0.4666666667,0.0013130745
emotion / NN,0.4666666667,0.0013130745
emotional,0.3636363636,0.0060026261
emotional / JJ,0.3636363636,0.0060026261
emotionally,0.4242424242,0.0026261489
emotionally / RB,0.4242424242,0.0026261489
emotions,0.2333333333,0.0013130745
emotions / NNS,0.2333333333,0.0013130745
empathy,0.5714285714,0.0015006565
empathy / NNP,0.5714285714,0.0015006565
emperor,0.3333333333,0.0003751641
emperor / NNP,0.3333333333,0.0003751641
emphasis,0.8,0.0007503283
emphasis / NN,0.8,0.0007503283
emphasizes,0.4285714286,0.0005627462
emphasizes / VBZ,0.4285714286,0.0005627462
empire,0.375,0.0005627462
empire / NN,0.375,0.0005627462
employs,0.6,0.0005627462
employs / VBZ,0.6,0.0005627462
empowerment,0.5714285714,0.0007503283
empowerment / NN,0.5714285714,0.0007503283
emptiness,0.625,0.0009379103
emptiness / NN,0.625,0.0009379103
empty,0.8333333333,0.002813731
empty / JJ,0.8333333333,0.002813731
en,0.4285714286,0.0005627462
en / IN,0.4,0.0003751641
encounter,0.2,0.0003751641
encounter / NN,0.1428571429,0.0001875821
encouraging,0.1666666667,0.0001875821
encouraging / JJ,0.2,0.0001875821
end,0.5689655172,0.0123804164
end / NN,0.58,0.0108797599
end / VB,0.4666666667,0.0013130745
endearing,0.3529411765,0.0011254924
endearing / JJ,0.3529411765,0.0011254924
endeavor,0.8181818182,0.0016882386
endeavor / NN,0.8181818182,0.0016882386
ended,0.4,0.0003751641
ending,0.6071428571,0.0063777903
ending / NN,0.4117647059,0.0013130745
ending / VBG,0.6923076923,0.0050647158
endless,0.8,0.0015006565
endless / JJ,0.8,0.0015006565
endlessly,0.25,0.0003751641
endlessly / RB,0.25,0.0003751641
ends,0.7021276596,0.0061902082
ends / NNS,0.7142857143,0.0009379103
ends / VBZ,0.7,0.0052522979
endure,0.4285714286,0.0005627462
endure / VB,0.4285714286,0.0005627462
enemy,0.6,0.0005627462
enemy / NN,0.6,0.0005627462
energetic,0.3333333333,0.0013130745
energetic / JJ,0.3333333333,0.0013130745
energy,0.4117647059,0.0039392234
energy / NN,0.4,0.0037516413
engage,0.4545454545,0.0009379103
engage / VB,0.4444444444,0.0007503283
engaged,0.3333333333,0.0005627462
engaged / VBN,0.375,0.0005627462
engages,0.2,0.0001875821
engages / VBZ,0.2,0.0001875821
engaging,0.2786885246,0.0031888951
engaging / JJ,0.15,0.0011254924
engaging / VBG,0.5238095238,0.0020634027
english,0.3,0.0005627462
english / JJ,0.3333333333,0.0003751641
engrossing,0.0303030303,0.0001875821
engrossing / JJ,0.0357142857,0.0001875821
engrossing / VBG,0,0
enigma,0.75,0.0011254924
enigma / NN,0.75,0.0011254924
enigmatic,0.3333333333,0.0003751641
enigmatic / JJ,0.3333333333,0.0003751641
enjoy,0.4237288136,0.0046895517
enjoy / VB,0.4117647059,0.0039392234
enjoy / VBP,0.5,0.0007503283
enjoyable,0.1475409836,0.0016882386
enjoyable / JJ,0.1475409836,0.0016882386
enjoyably,0.25,0.0003751641
enjoyably / RB,0.25,0.0003751641
enjoyed,0.25,0.0007503283
enjoyed / VBD,0.0909090909,0.0001875821
enjoyed / VBN,0.6,0.0005627462
enjoying,0.4,0.0003751641
enjoying / VBG,0.4,0.0003751641
enjoys,0.5,0.0005627462
enjoys / VBZ,0.5,0.0005627462
enlightening,0.2,0.0001875821
enlightening / VBG,0.2,0.0001875821
enormous,0.2857142857,0.0003751641
enormous / JJ,0.2857142857,0.0003751641
enormously,0,0
enormously / RB,0,0
enough,0.5176470588,0.0247608329
enough / JJ,0.4851485149,0.0091915213
enough / RB,0.5384615385,0.0157568936
ensemble,0.3571428571,0.0018758207
ensemble / NN,0.3571428571,0.0018758207
enter,0.8571428571,0.0011254924
enterprise,0.6363636364,0.0013130745
enterprise / NN,0.6363636364,0.0013130745
entertain,0.1666666667,0.0003751641
entertain / VB,0.1666666667,0.0003751641
entertained,0.5555555556,0.0009379103
entertained / VBN,0.5,0.0007503283
entertaining,0.2352941176,0.0052522979
entertaining / JJ,0.2413793103,0.0052522979
entertainingly,0.4,0.0003751641
entertainingly / RB,0.4,0.0003751641
entertainment,0.4337349398,0.0067529544
entertainment / NN,0.4430379747,0.0065653724
enthralling,0.25,0.0003751641
enthralling / JJ,0.25,0.0003751641
enthusiasm,0.3333333333,0.0005627462
enthusiasm / NN,0.3333333333,0.0005627462
enthusiastic,0.1666666667,0.0001875821
enthusiastic / JJ,0.1666666667,0.0001875821
enticing,0.4,0.0003751641
enticing / VBG,0.4,0.0003751641
entire,0.6666666667,0.0041268055
entire / JJ,0.6666666667,0.0041268055
entirely,0.4,0.0026261489
entirely / RB,0.4,0.0026261489
entry,0.5555555556,0.0009379103
entry / NN,0.5555555556,0.0009379103
environment,0.2,0.0001875821
environment / NN,0.2,0.0001875821
epic,0.2647058824,0.0016882386
epic / NN,0.2647058824,0.0016882386
episode,0.7916666667,0.0035640593
episode / NN,0.7916666667,0.0035640593
episodes,0.7142857143,0.0009379103
episodes / NNS,0.7142857143,0.0009379103
episodic,1,0.0009379103
episodic / JJ,1,0.0009379103
equal,0.2727272727,0.0005627462
equal / JJ,0.2,0.0003751641
equally,0.4545454545,0.0018758207
equally / RB,0.4545454545,0.0018758207
equilibrium,0.8333333333,0.0009379103
equilibrium / NN,0.8333333333,0.0009379103
equivalent,0.7368421053,0.0026261489
equivalent / NN,0.7777777778,0.0026261489
era,0.3461538462,0.0016882386
era / NN,0.375,0.0016882386
eric,0.3333333333,0.0005627462
eric / NNP,0.3333333333,0.0005627462
erotic,0.8,0.0007503283
erotic / JJ,0.8,0.0007503283
es,0.2857142857,0.0011254924
es / NN,0.2857142857,0.0011254924
escape,0.6428571429,0.0016882386
escape / NN,0.8333333333,0.0009379103
escape / VB,0.5,0.0007503283
escapism,0.3636363636,0.0007503283
escapism / NN,0.3636363636,0.0007503283
escapist,0,0
escapist / JJ,0,0
especially,0.4166666667,0.0046895517
especially / RB,0.4166666667,0.0046895517
essence,0.375,0.0005627462
essence / NN,0.375,0.0005627462
essential,0.4,0.0003751641
essential / JJ,0.4,0.0003751641
essentially,0.7,0.0026261489
essentially / RB,0.7,0.0026261489
establishes,0,0
establishes / VBZ,0,0
esther,0.6666666667,0.0007503283
esther / NNP,0.6666666667,0.0007503283
etc,1,0.0009379103
etc / FW,1,0.0009379103
ethnic,0.4285714286,0.0005627462
ethnic / JJ,0.4285714286,0.0005627462
european,0.625,0.0009379103
european / JJ,0.6666666667,0.0007503283
evans,0.2857142857,0.0003751641
evans / NNP,0.2857142857,0.0003751641
evelyn,0.5,0.0005627462
evelyn / NNP,0.5,0.0005627462
even,0.5277044855,0.0375164134
even / RB,0.5277044855,0.0375164134
evening,0.4,0.0003751641
evening / NN,0.4,0.0003751641
event,0.3076923077,0.0007503283
event / NN,0.3076923077,0.0007503283
events,0.2580645161,0.0015006565
events / NNS,0.2580645161,0.0015006565
eventual,0.4,0.0003751641
eventual / JJ,0.4,0.0003751641
eventually,0.6666666667,0.0026261489
eventually / RB,0.6666666667,0.0026261489
ever,0.4244604317,0.011067342
ever / RB,0.4244604317,0.011067342
everlasting,0.6,0.0005627462
everlasting / JJ,0.6,0.0005627462
every,0.6257309942,0.0200712812
every / DT,0.6257309942,0.0200712812
everybody,0.8,0.0007503283
everybody / NN,0.8,0.0007503283
everyday,0,0
everyday / JJ,0,0
everyone,0.4339622642,0.0043143875
everyone / NN,0.4339622642,0.0043143875
everything,0.6285714286,0.008253611
everything / NN,0.6285714286,0.008253611
evidence,0.8571428571,0.0011254924
evidence / NN,0.8571428571,0.0011254924
evil,0.4761904762,0.0018758207
evil / JJ,0.4166666667,0.0009379103
evil / NN,0.5555555556,0.0009379103
evocative,0.0833333333,0.0001875821
evocative / JJ,0.0833333333,0.0001875821
evoke,0.3333333333,0.0003751641
evokes,0.1111111111,0.0001875821
evokes / VBZ,0.1111111111,0.0001875821
exactly,0.5909090909,0.0048771337
exactly / RB,0.5909090909,0.0048771337
exaggerated,0.8333333333,0.0009379103
examination,0.1071428571,0.0005627462
examination / NN,0.1071428571,0.0005627462
examine,0.2,0.0001875821
examine / VB,0.2,0.0001875821
examines,0,0
examines / VBZ,0,0
example,0.5,0.0015006565
example / NN,0.5,0.0015006565
exceedingly,0.4285714286,0.0005627462
exceedingly / RB,0.4285714286,0.0005627462
excellent,0.2647058824,0.0016882386
excellent / JJ,0.2647058824,0.0016882386
excels,0.2,0.0001875821
excels / VBZ,0.2,0.0001875821
except,0.7777777778,0.0039392234
except / IN,0.7777777778,0.0039392234
exception,0.8333333333,0.0009379103
exception / NN,0.8333333333,0.0009379103
exceptional,0.125,0.0001875821
exceptional / JJ,0.125,0.0001875821
exceptionally,0.3333333333,0.0005627462
exceptionally / RB,0.3333333333,0.0005627462
excess,0.6363636364,0.0013130745
excess / JJ,0.6,0.0005627462
excess / NN,0.6666666667,0.0007503283
excesses,1,0.0009379103
excesses / NNS,1,0.0009379103
excitement,0.4,0.0015006565
excitement / NN,0.4,0.0015006565
exciting,0.4482758621,0.0024385669
exciting / JJ,0.4482758621,0.0024385669
excruciating,1,0.0009379103
excruciating / JJ,1,0.0009379103
excuse,0.8666666667,0.0024385669
excuse / NN,0.9285714286,0.0024385669
executed,0.5,0.0009379103
executed / VBN,0.5555555556,0.0009379103
execution,0.5862068966,0.0031888951
execution / NN,0.5862068966,0.0031888951
exercise,0.7924528302,0.0078784468
exercise / NN,0.7924528302,0.0078784468
exhausting,1,0.0013130745
exhilarating,0.1666666667,0.0005627462
exhilarating / JJ,0.1666666667,0.0005627462
exist,0.5714285714,0.0007503283
existed,0.4,0.0003751641
existence,0.4,0.0007503283
existence / NN,0.4,0.0007503283
existential,0.4285714286,0.0005627462
existential / JJ,0.4285714286,0.0005627462
exists,0.5,0.0005627462
exists / VBZ,0.5,0.0005627462
exotic,0.1666666667,0.0001875821
exotic / JJ,0.1666666667,0.0001875821
expect,0.4848484848,0.0030013131
expect / VB,0.48,0.0022509848
expect / VBP,0.5,0.0007503283
expectation,0.4285714286,0.0005627462
expectation / NN,0.4285714286,0.0005627462
expectations,0.5,0.0011254924
expectations / NNS,0.5,0.0011254924
expected,0.5294117647,0.0016882386
expected / VBN,0.5384615385,0.0013130745
expects,0.8,0.0007503283
expects / VBZ,0.8,0.0007503283
expense,0.4285714286,0.0005627462
expense / NN,0.4285714286,0.0005627462
experience,0.301369863,0.0041268055
experience / NN,0.3142857143,0.0041268055
experienced,0.6666666667,0.0007503283
experiences,0.3846153846,0.0009379103
experiences / NNS,0.3846153846,0.0009379103
experiment,0.5,0.0005627462
experiment / NN,0.5,0.0005627462
expertly,0.1428571429,0.0001875821
expertly / RB,0.1428571429,0.0001875821
exploit,0.7142857143,0.0009379103
exploit / VB,0.7142857143,0.0009379103
exploitation,0.8,0.0015006565
exploitation / NN,0.8,0.0015006565
exploitative,0.8,0.0015006565
exploitative / JJ,0.8,0.0015006565
exploration,0.2352941176,0.0007503283
exploration / NN,0.2352941176,0.0007503283
explore,0.375,0.0005627462
explore / VB,0.3333333333,0.0003751641
explored,0.8,0.0007503283
explores,0,0
explores / VBZ,0,0
exploring,0.6666666667,0.0007503283
exploring / VBG,0.6666666667,0.0007503283
explosion,0.6,0.0005627462
explosion / NN,0.6,0.0005627462
explosions,0.8571428571,0.0011254924
explosions / NNS,0.8571428571,0.0011254924
exposition,0.7142857143,0.0009379103
exposition / NN,0.7142857143,0.0009379103
express,0.1666666667,0.0001875821
expressive,0,0
expressive / JJ,0,0
exquisite,0.375,0.0005627462
exquisite / JJ,0.375,0.0005627462
exquisitely,0,0
exquisitely / RB,0,0
extended,0.4444444444,0.0007503283
extended / JJ,0.6666666667,0.0007503283
extent,0.4,0.0003751641
extent / NN,0.4,0.0003751641
extra,0.2,0.0001875821
extra / JJ,0.2,0.0001875821
extraordinarily,0.2,0.0001875821
extraordinarily / RB,0.2,0.0001875821
extraordinary,0.1111111111,0.0003751641
extraordinary / JJ,0.1111111111,0.0003751641
extravaganza,0.4,0.0003751641
extravaganza / NN,0.4,0.0003751641
extreme,0.652173913,0.002813731
extreme / JJ,0.619047619,0.0024385669
extremely,0.6086956522,0.0026261489
extremely / RB,0.6086956522,0.0026261489
eye,0.3333333333,0.0016882386
eye / NN,0.3333333333,0.0016882386
eyes,0.1764705882,0.0011254924
eyes / NNS,0.1764705882,0.0011254924
eyre,0.5714285714,0.0007503283
eyre / NNP,0.5,0.0005627462
f,0.5,0.0005627462
f / NN,0.5,0.0005627462
fable,0.5,0.0013130745
fable / NN,0.4615384615,0.0011254924
fabric,0.5,0.0005627462
fabric / NN,0.5,0.0005627462
face,0.2745098039,0.0026261489
face / NN,0.2857142857,0.0022509848
face / VB,0.4,0.0003751641
faces,0.7,0.0013130745
faces / NNS,0.75,0.0011254924
facile,0.6,0.0005627462
facile / JJ,0.6,0.0005627462
facing,0.4,0.0003751641
facing / VBG,0.4,0.0003751641
fact,0.6875,0.0061902082
fact / NN,0.6875,0.0061902082
factor,0.625,0.0009379103
factor / NN,0.625,0.0009379103
fail,0.6666666667,0.0011254924
fail / VBP,1,0.0009379103
failed,0.8571428571,0.0011254924
failed / VBN,0.8,0.0007503283
failing,1,0.0009379103
failing / VBG,1,0.0009379103
fails,0.8775510204,0.0080660289
fails / VBZ,0.8775510204,0.0080660289
failure,0.8,0.0022509848
failure / NN,0.8,0.0022509848
fair,0.4,0.0011254924
fair / JJ,0.4,0.0011254924
fairly,0.4117647059,0.0026261489
fairly / RB,0.4117647059,0.0026261489
fairy,0.625,0.0009379103
fairy / NN,0.625,0.0009379103
faith,0.4,0.0015006565
faith / NN,0.4,0.0015006565
faithful,0.2142857143,0.0005627462
faithful / JJ,0.125,0.0001875821
fake,0.5555555556,0.0009379103
fake / JJ,0.5,0.0007503283
fall,0.5625,0.0016882386
fall / NN,0.2857142857,0.0003751641
fall / VBP,0.8,0.0007503283
falling,0.5,0.0005627462
falling / VBG,0.5,0.0005627462
falls,0.8,0.0060026261
falls / VBZ,0.8,0.0052522979
false,0.6666666667,0.0015006565
false / JJ,0.6666666667,0.0015006565
fame,0.4285714286,0.0005627462
fame / NN,0.3333333333,0.0003751641
familial,0,0
familial / JJ,0,0
familiar,0.4603174603,0.0054398799
familiar / JJ,0.4603174603,0.0054398799
familiarity,0.5,0.0005627462
familiarity / NN,0.5,0.0005627462
families,0.3076923077,0.0007503283
families / NNS,0.3076923077,0.0007503283
family,0.2685185185,0.0054398799
family / NN,0.2685185185,0.0054398799
famous,0.3,0.0005627462
famous / JJ,0.3,0.0005627462
fan,0.2857142857,0.0011254924
fan / NN,0.2857142857,0.0011254924
fanciful,0.3333333333,0.0005627462
fanciful / JJ,0.3333333333,0.0005627462
fancy,0.5555555556,0.0009379103
fancy / JJ,0.6,0.0005627462
fans,0.4683544304,0.0069405365
fans / NNS,0.4683544304,0.0069405365
fantasies,0.1428571429,0.0001875821
fantasies / NNS,0.1428571429,0.0001875821
fantastic,0.2857142857,0.0007503283
fantastic / JJ,0.2857142857,0.0007503283
fantasy,0.3333333333,0.0018758207
fantasy / NN,0.380952381,0.0015006565
fantasy / NNP,0.2222222222,0.0003751641
far,0.5294117647,0.0135059088
far / RB,0.534351145,0.0131307447
farce,0.6470588235,0.0020634027
farce / NN,0.6470588235,0.0020634027
farcical,0.8,0.0007503283
farcical / JJ,0.8,0.0007503283
fare,0.35,0.0013130745
fare / NN,0.35,0.0013130745
farrelly,1,0.0011254924
farrelly / NNP,1,0.0009379103
fascinating,0.2435897436,0.0035640593
fascinating / JJ,0.2435897436,0.0035640593
fascination,0.4,0.0003751641
fascination / NN,0.4,0.0003751641
fashion,0.5,0.0016882386
fashion / NN,0.5294117647,0.0016882386
fast,0.3333333333,0.0013130745
fast / JJ,0.2222222222,0.0003751641
fast / RB,0.4166666667,0.0009379103
fast-paced,0.1666666667,0.0001875821
fast-paced / JJ,0.1666666667,0.0001875821
faster,0.75,0.0011254924
faster / RBR,0.8,0.0007503283
fat,0.4,0.0015006565
fat / JJ,0.4210526316,0.0015006565
fatal,0.9285714286,0.0024385669
fatal / JJ,0.9285714286,0.0024385669
fate,0.4545454545,0.0009379103
fate / NN,0.4545454545,0.0009379103
father,0.3333333333,0.0009379103
father / NN,0.3333333333,0.0009379103
fathers,0.1666666667,0.0001875821
fathers / NNS,0.1666666667,0.0001875821
favor,0.5333333333,0.0015006565
favor / NN,0.5333333333,0.0015006565
favorite,0.4285714286,0.0005627462
favorite / JJ,0.5,0.0005627462
favors,0.8,0.0007503283
fear,0.5294117647,0.0016882386
fear / NN,0.5333333333,0.0015006565
feardotcom,0.8333333333,0.0009379103
fears,0.5625,0.0016882386
fears / NNS,0.6,0.0016882386
feast,0,0
feast / NN,0,0
feat,0.4285714286,0.0005627462
feat / NN,0.4285714286,0.0005627462
feathers,0.8333333333,0.0009379103
feathers / NNS,0.8333333333,0.0009379103
feature,0.3666666667,0.0041268055
feature / NN,0.3333333333,0.0035640593
feature-length,0.9,0.0016882386
feature-length / JJ,0.9,0.0016882386
features,0.4285714286,0.0011254924
features / NNS,0.3636363636,0.0007503283
featuring,0.5714285714,0.0015006565
featuring / VBG,0.5714285714,0.0015006565
feel,0.552,0.0129431626
feel / NN,0.7142857143,0.002813731
feel / VB,0.5285714286,0.0069405365
feel / VBP,0.4857142857,0.0031888951
feel-good,0.1428571429,0.0003751641
feel-good / JJ,0.1428571429,0.0003751641
feeling,0.4310344828,0.0046895517
feeling / NN,0.3888888889,0.0026261489
feeling / VBG,0.5,0.0020634027
feelings,0.5714285714,0.0007503283
feelings / NNS,0.5714285714,0.0007503283
feels,0.7571428571,0.0198836991
feels / VBZ,0.7571428571,0.0198836991
feet,0.8571428571,0.0011254924
feet / NNS,0.8571428571,0.0011254924
fellow,0.4285714286,0.0005627462
fellow / JJ,0.4,0.0003751641
felt,0.3703703704,0.0018758207
felt / VBD,0.35,0.0013130745
felt / VBN,0.4285714286,0.0005627462
female,0.3571428571,0.0018758207
female / JJ,0.3703703704,0.0018758207
fence,0.375,0.0005627462
fence / NN,0.375,0.0005627462
ferrara,0.2,0.0001875821
ferrara / NNP,0.2,0.0001875821
fessenden,0.3333333333,0.0003751641
fessenden / NNP,0.3333333333,0.0003751641
fest,0.4,0.0003751641
fest / JJS,0.4,0.0003751641
festival,0.4666666667,0.0013130745
festival / NN,0.4,0.0007503283
festival / NNP,0.5,0.0005627462
few,0.598540146,0.0153817295
few / JJ,0.598540146,0.0153817295
fewer,1,0.0011254924
fewer / JJR,1,0.0011254924
fiction,0.4736842105,0.0016882386
fiction / NN,0.4736842105,0.0016882386
fictional,0.6,0.0005627462
fictional / JJ,0.6,0.0005627462
field,0.3333333333,0.0003751641
field / NN,0.3333333333,0.0003751641
fierce,0.2727272727,0.0005627462
fierce / JJ,0.2727272727,0.0005627462
fiercely,0,0
fiercely / RB,0,0
fight,0.5,0.0013130745
fight / NN,0.4545454545,0.0009379103
fighting,0.5555555556,0.0009379103
fighting / VBG,0.5714285714,0.0007503283
fights,0.2222222222,0.0003751641
fights / NNS,0.3333333333,0.0003751641
figure,0.6666666667,0.0022509848
figure / NN,0.5555555556,0.0009379103
figure / VB,0.8571428571,0.0011254924
figures,0.3636363636,0.0007503283
figures / NNS,0.4444444444,0.0007503283
fill,0.5454545455,0.0011254924
fill / VB,0.5,0.0007503283
filled,0.3461538462,0.0016882386
filled / VBN,0.32,0.0015006565
filling,0.3333333333,0.0005627462
filling / VBG,0.375,0.0005627462
fills,0.5,0.0005627462
fills / VBZ,0.5,0.0005627462
film,0.4326241135,0.1258675671
film / NN,0.4322747894,0.1251172388
film / NNP,0.5,0.0007503283
filme,0.2727272727,0.0005627462
filme / NNP,0.2857142857,0.0003751641
filmed,0.5555555556,0.0018758207
filmed / VBN,0.5555555556,0.0018758207
filmmaker,0.2727272727,0.002813731
filmmaker / NN,0.2777777778,0.002813731
filmmakers,0.5820895522,0.0073157006
filmmakers / NNS,0.5820895522,0.0073157006
filmmaking,0.38,0.0035640593
filmmaking / NN,0.3829787234,0.0033764772
films,0.3876404494,0.0129431626
films / NNS,0.3876404494,0.0129431626
final,0.5882352941,0.0037516413
final / JJ,0.5882352941,0.0037516413
finale,0.5833333333,0.0013130745
finale / NN,0.5833333333,0.0013130745
finally,0.5135135135,0.0035640593
finally / RB,0.5135135135,0.0035640593
fincher,0.3333333333,0.0003751641
fincher / NNP,0.3333333333,0.0003751641
find,0.5339805825,0.0103170137
find / VB,0.5494505495,0.0093791034
find / VBP,0.4166666667,0.0009379103
finding,0.3076923077,0.0007503283
finding / VBG,0.3333333333,0.0007503283
finds,0.375,0.0016882386
finds / VBZ,0.375,0.0016882386
fine,0.3396226415,0.0033764772
fine / JJ,0.4090909091,0.0033764772
fine / NN,0,0
finely,0,0
finely / RB,0,0
finest,0.1818181818,0.0003751641
finest / JJS,0.1818181818,0.0003751641
fingered,1,0.0009379103
fingered / VBN,1,0.0009379103
finish,0.5,0.0018758207
finish / NN,0.375,0.0005627462
finish / VB,0.5833333333,0.0013130745
fire,0.6206896552,0.0033764772
fire / NN,0.6428571429,0.0033764772
firmly,0.6666666667,0.0007503283
firmly / RB,0.6666666667,0.0007503283
first,0.4206896552,0.0114425061
first / JJ,0.4285714286,0.0101294316
first / RB,0.3333333333,0.0011254924
first-rate,0.4285714286,0.0005627462
first-rate / JJ,0.4285714286,0.0005627462
first-time,0.6,0.0016882386
first-time / JJ,0.6,0.0016882386
fish,0.625,0.0009379103
fish / NN,0.625,0.0009379103
fisher,0.3636363636,0.0007503283
fisher / NNP,0.3636363636,0.0007503283
fit,0.6315789474,0.0022509848
fit / VB,0.7777777778,0.0013130745
fitfully,1,0.0009379103
fitfully / RB,1,0.0009379103
fits,0.5714285714,0.0007503283
fits / VBZ,0.6666666667,0.0007503283
five,0.5833333333,0.0026261489
five / CD,0.5833333333,0.0026261489
fizz,0.6,0.0005627462
fizz / NN,0.6,0.0005627462
flaccid,1,0.0009379103
flaccid / JJ,1,0.0009379103
flair,0.2,0.0005627462
flair / NN,0.2,0.0005627462
flamboyant,0.3333333333,0.0003751641
flamboyant / JJ,0.3333333333,0.0003751641
flash,0.8,0.0015006565
flash / NN,0.8,0.0015006565
flashbacks,0.8,0.0007503283
flashbacks / NNS,0.8,0.0007503283
flashes,0.2,0.0001875821
flashes / NNS,0.2,0.0001875821
flashy,0.75,0.0016882386
flashy / JJ,0.75,0.0016882386
flat,0.9487179487,0.0069405365
flat / JJ,0.9487179487,0.0069405365
flawed,0.1153846154,0.0005627462
flawed / JJ,0.0588235294,0.0001875821
flawed / VBN,0.2222222222,0.0003751641
flaws,0.1111111111,0.0005627462
flaws / NNS,0.1111111111,0.0005627462
fleeting,0.3333333333,0.0003751641
fleeting / JJ,0.3333333333,0.0003751641
flick,0.652173913,0.008441193
flick / NN,0.652173913,0.008441193
flicks,0.5238095238,0.0020634027
flicks / NNS,0.5238095238,0.0020634027
flimsy,1,0.0013130745
flimsy / JJ,1,0.0013130745
floor,0.6,0.0005627462
floor / NN,0.6,0.0005627462
florid,1,0.0011254924
florid / JJ,1,0.0011254924
flourishes,0.3333333333,0.0003751641
flourishes / NNS,0.3333333333,0.0003751641
flow,0.2222222222,0.0003751641
flow / NN,0.25,0.0003751641
flowers,0.8,0.0007503283
flowers / NNS,0.8,0.0007503283
fluff,0.5555555556,0.0009379103
fluff / NN,0.5555555556,0.0009379103
fluid,0,0
fly,0.5,0.0011254924
fly / VB,0.5,0.0005627462
focus,0.625,0.002813731
focus / NN,0.619047619,0.0024385669
focused,0.375,0.0005627462
foibles,0.1666666667,0.0001875821
foibles / NNS,0.2,0.0001875821
folk,0.4,0.0003751641
folk / NN,0.4,0.0003751641
folks,0.5625,0.0016882386
folks / NNS,0.5625,0.0016882386
follow,0.375,0.0011254924
follow / VB,0.3333333333,0.0007503283
followed,0.8333333333,0.0009379103
followed / VBN,0.8,0.0007503283
following,0.6666666667,0.0015006565
following / VBG,0.6363636364,0.0013130745
follows,0.7,0.0013130745
follows / VBZ,0.7,0.0013130745
fontaine,0,0
fontaine / NNP,0,0
food,0.25,0.0005627462
food / NN,0.25,0.0005627462
fool,0.7142857143,0.0009379103
footage,0.4736842105,0.0016882386
footage / NN,0.4736842105,0.0016882386
for,0.5323076923,0.1298067905
for / IN,0.5323076923,0.1298067905
force,0.1923076923,0.0009379103
force / NN,0.0952380952,0.0003751641
forced,0.8181818182,0.0033764772
forced / VBN,0.8125,0.0024385669
forceful,0,0
forceful / JJ,0,0
forces,0.4,0.0007503283
forces / VBZ,0.4285714286,0.0005627462
ford,0.75,0.0011254924
ford / NNP,0.75,0.0011254924
foreign,0.3571428571,0.0009379103
foreign / JJ,0.3571428571,0.0009379103
forever,0.6,0.0005627462
forever / RB,0.6,0.0005627462
forget,0.4761904762,0.0018758207
forget / VB,0.4210526316,0.0015006565
forgettable,0.5833333333,0.0026261489
forgettable / JJ,0.5833333333,0.0026261489
forgive,0.5,0.0009379103
forgive / VB,0.2857142857,0.0003751641
forgotten,0.4285714286,0.0011254924
forgotten / VBN,0.4285714286,0.0011254924
form,0.2058823529,0.0013130745
form / NN,0.2692307692,0.0013130745
form / VB,0,0
format,0.0909090909,0.0001875821
format / NN,0.0909090909,0.0001875821
former,0.8571428571,0.0011254924
former / JJ,0.8571428571,0.0011254924
formula,0.6363636364,0.0052522979
formula / NN,0.6363636364,0.0052522979
formulaic,0.8,0.0037516413
formulaic / JJ,0.8,0.0037516413
forte,0.6,0.0005627462
forte / NNP,0.6,0.0005627462
forth,0.1428571429,0.0001875821
forth / RB,0.1428571429,0.0001875821
fortune,0.8,0.0007503283
fortune / NN,0.8,0.0007503283
foster,0.1666666667,0.0001875821
foul,0.4,0.0003751641
foul / JJ,0.4,0.0003751641
found,0.475,0.0035640593
found / VBD,0.4782608696,0.0020634027
found / VBN,0.4705882353,0.0015006565
four,0.5625,0.0033764772
four / CD,0.5625,0.0033764772
fourth,0.2857142857,0.0003751641
fourth / JJ,0.2857142857,0.0003751641
fragile,0.2,0.0001875821
fragile / JJ,0.2,0.0001875821
frailty,0,0
frailty / NN,0,0
frame,0.380952381,0.0015006565
frame / NN,0.380952381,0.0015006565
france,0,0
france / NNP,0,0
